date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,sh_x,sot_x,dist_x,fk_x,pk_x,pkatt_x,sh_y,sot_y,dist_y,fk_y,pk_y,pkatt_y,season,team,poss_x,poss_y,succ%_x,cpa_x,succ%_y,cpa_y,kp,1/3,ppa,crspa,prog,sca_x,passlive_x,to_x,sca_y,tkl_x,tkl_x.1,tklw_x,def 3rd_x,tkl%_x,blocks_x,int_x,err_x,tkl_y,tkl_y.1,tklw_y,def 3rd_y,tkl%_y,blocks_y,int_y,err_y,venue_code,opp_code,hour,day_code,referee_code,formation_code,captain_code,target
2022-08-07,16:30,Premier League,Matchweek 1,Sun,Away,W,2.0,0.0,West Ham,2.2,0.5,75.0,62443.0,İlkay Gündoğan,4-3-3,Michael Oliver,13.0,1.0,18.7,1.0,1.0,1.0,6.0,1.0,16.3,0.0,0.0,0.0,2021.0,Manchester City,20.0,20.0,66.7,0.0,46.2,11.0,8.0,28.0,5.0,2.0,21.0,8.0,4.0,0.0,31.0,19.0,13.0,11.0,8.0,65.0,10.0,10.0,1.0,17.0,7.0,12.0,11.0,58.3,13.0,5.0,1.0,0,26,16,6,18,16,185,1
2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,W,4.0,0.0,Bournemouth,1.7,0.1,67.0,53453.0,İlkay Gündoğan,4-2-3-1,David Coote,19.0,7.0,17.5,0.0,0.0,0.0,3.0,1.0,20.6,0.0,0.0,0.0,2021.0,Manchester City,57.0,57.0,57.7,5.0,46.7,8.0,8.0,41.0,6.0,1.0,34.0,38.0,27.0,3.0,30.0,28.0,10.0,17.0,18.0,55.6,12.0,9.0,1.0,13.0,7.0,6.0,6.0,50.0,6.0,5.0,0.0,1,2,15,5,7,12,185,1
2022-08-21,16:30,Premier League,Matchweek 3,Sun,Away,D,3.0,3.0,Newcastle Utd,2.1,1.8,69.0,52258.0,İlkay Gündoğan,4-3-3,Jarred Gillett,21.0,10.0,16.2,1.0,0.0,0.0,12.0,5.0,14.8,1.0,0.0,0.0,2021.0,Manchester City,47.0,47.0,23.1,2.0,34.6,8.0,8.0,30.0,7.0,1.0,28.0,16.0,12.0,0.0,21.0,18.0,8.0,9.0,8.0,61.5,11.0,2.0,0.0,12.0,5.0,11.0,7.0,35.7,12.0,5.0,0.0,0,18,16,6,9,16,185,0
2022-08-27,15:00,Premier League,Matchweek 4,Sat,Home,W,4.0,2.0,Crystal Palace,2.2,0.1,74.0,53112.0,Kevin De Bruyne,4-2-3-1,Darren England,18.0,5.0,14.1,0.0,0.0,0.0,2.0,2.0,20.6,0.0,0.0,0.0,2021.0,Manchester City,37.0,37.0,57.1,5.0,64.7,4.0,2.0,33.0,3.0,1.0,36.0,18.0,9.0,3.0,26.0,21.0,10.0,12.0,9.0,43.5,25.0,9.0,0.0,10.0,6.0,7.0,7.0,60.0,14.0,13.0,0.0,1,8,15,5,6,12,96,1
2022-08-31,19:30,Premier League,Matchweek 5,Wed,Home,W,6.0,0.0,Nott'ham Forest,3.3,0.7,74.0,53409.0,İlkay Gündoğan,4-2-3-1,Paul Tierney,17.0,9.0,14.8,0.0,0.0,0.0,8.0,1.0,18.4,1.0,0.0,0.0,2021.0,Manchester City,26.0,26.0,40.0,3.0,42.1,5.0,5.0,34.0,5.0,3.0,23.0,9.0,5.0,1.0,37.0,25.0,10.0,13.0,10.0,43.5,10.0,10.0,1.0,14.0,7.0,11.0,8.0,33.3,12.0,6.0,1.0,1,20,19,2,22,12,185,1
2022-09-03,17:30,Premier League,Matchweek 6,Sat,Away,D,1.0,1.0,Aston Villa,2.1,0.3,71.0,41830.0,İlkay Gündoğan,4-3-3,Simon Hooper,13.0,4.0,16.8,1.0,0.0,0.0,3.0,1.0,16.8,0.0,0.0,0.0,2021.0,Manchester City,21.0,21.0,50.0,4.0,33.3,14.0,14.0,50.0,10.0,3.0,39.0,10.0,7.0,2.0,41.0,14.0,7.0,7.0,8.0,53.8,14.0,5.0,0.0,10.0,5.0,5.0,4.0,55.6,11.0,4.0,0.0,0,1,17,5,30,16,185,0
2022-09-17,12:30,Premier League,Matchweek 8,Sat,Away,W,3.0,0.0,Wolves,1.1,0.4,59.0,31578.0,Kevin De Bruyne,4-3-3,Anthony Taylor,16.0,7.0,19.4,0.0,0.0,0.0,6.0,1.0,19.6,2.0,0.0,0.0,2021.0,Manchester City,37.0,37.0,25.0,4.0,42.1,7.0,14.0,43.0,17.0,4.0,54.0,17.0,12.0,0.0,25.0,17.0,5.0,9.0,8.0,27.8,15.0,12.0,1.0,23.0,11.0,14.0,12.0,47.8,9.0,7.0,0.0,0,27,12,5,2,16,96,1
2022-10-02,14:00,Premier League,Matchweek 9,Sun,Home,W,6.0,3.0,Manchester Utd,3.2,1.7,53.0,53475.0,İlkay Gündoğan,4-3-3,Michael Oliver,22.0,9.0,14.2,1.0,0.0,0.0,11.0,7.0,22.2,0.0,1.0,1.0,2021.0,Manchester City,20.0,20.0,28.6,2.0,58.8,11.0,13.0,37.0,12.0,3.0,35.0,6.0,4.0,2.0,36.0,20.0,7.0,9.0,12.0,35.0,17.0,7.0,0.0,10.0,5.0,7.0,4.0,50.0,5.0,5.0,0.0,1,17,14,6,18,16,185,1
2022-10-08,15:00,Premier League,Matchweek 10,Sat,Home,W,4.0,0.0,Southampton,2.4,0.2,65.0,53365.0,Kevin De Bruyne,4-2-3-1,Andy Madley,21.0,8.0,13.9,0.0,0.0,0.0,5.0,0.0,28.1,0.0,0.0,0.0,2021.0,Manchester City,31.0,31.0,40.0,5.0,50.0,15.0,1.0,21.0,0.0,0.0,10.0,20.0,13.0,0.0,61.0,15.0,5.0,12.0,4.0,100.0,16.0,8.0,1.0,10.0,6.0,5.0,1.0,40.0,12.0,17.0,1.0,1,22,15,5,1,12,96,1
2022-10-16,16:30,Premier League,Matchweek 11,Sun,Away,L,0.0,1.0,Liverpool,1.0,2.1,63.0,53286.0,İlkay Gündoğan,3-4-3,Anthony Taylor,16.0,6.0,18.4,0.0,0.0,0.0,13.0,2.0,17.5,0.0,0.0,0.0,2021.0,Manchester City,27.0,27.0,60.0,3.0,57.9,5.0,9.0,30.0,9.0,4.0,21.0,12.0,8.0,1.0,44.0,14.0,9.0,9.0,7.0,64.3,18.0,6.0,0.0,22.0,9.0,14.0,9.0,36.0,10.0,4.0,0.0,0,14,16,6,2,4,185,0
